Date,Heure,Caisse,Ticket
21/12/15,09:53:31,4,127353
21/12/15,12:20:35,2,114319
21/12/15,12:20:58,1,111979
21/12/15,12:21:10,1,111980
21/12/15,12:22:13,1,111983
21/12/15,12:23:32,2,114333
21/12/15,12:25:09,1,111992
21/12/15,12:26:02,2,114338
21/12/15,12:33:45,1,112025
21/12/15,12:36:14,2,114381
21/12/15,13:04:42,4,127501
18/12/15,12:46:54,2,114077
22/12/15,10:23:14,4,127801
21/12/15,12:59:56,1,112112
22/12/15,13:24:26,4,127952
22/12/15,12:37:40,1,112338
22/12/15,12:42:24,2,114695
22/12/15,12:42:32,2,114696
22/12/15,12:41:07,1,112347
22/12/15,12:41:18,1,112348
22/12/15,12:42:09,1,112352
22/12/15,12:41:44,1,112350
22/12/15,12:38:16,2,114680
23/12/15,13:14:00,2,114953
23/12/15,13:16:15,2,114958
23/12/15,13:16:51,2,114959
23/12/15,13:16:17,1,112719
23/12/15,13:14:16,1,112715
23/12/15,13:14:17,2,114954
24/12/15,13:07:54,1,112851
24/12/15,13:07:08,2,115107
29/12/15,13:21:06,2,115484
29/12/15,13:21:20,2,115485
29/12/15,13:21:25,1,113226
05/01/16,12:56:25,2,116309
05/01/16,12:51:50,1,114259
05/01/16,12:52:31,2,116292
05/01/16,12:49:04,2,116275
05/01/16,12:49:47,2,116279
06/01/16,13:12:24,1,114762
06/01/16,13:12:31,1,114763
06/01/16,13:12:40,1,114764
06/01/16,13:00:59,1,114721
06/01/16,13:11:56,2,116696
06/01/16,13:12:07,2,116697
06/01/16,13:12:40,2,116699
06/01/16,13:12:49,2,116700
06/01/16,13:13:46,2,116703
06/01/16,13:17:30,2,116714
06/01/16,13:13:25,1,114768
06/01/16,13:36:38,1,114839
06/01/16,13:17:13,1,114782
05/01/16,12:51:48,2,116288
05/01/16,12:47:34,3,54562
05/01/16,12:35:12,1,114172
05/01/16,12:56:15,1,114283
05/01/16,13:38:05,4,130387
07/01/16,12:12:06,1,114958
07/01/16,12:17:53,1,114987
07/01/16,12:19:15,1,114994
07/01/16,12:19:22,1,114995
07/01/16,12:20:46,2,116869
07/01/16,12:19:18,2,116862
07/01/16,12:21:05,2,116870
07/01/16,12:05:17,3,54689
05/01/16,12:53:33,1,114272
05/01/16,13:09:11,2,116357
04/01/16,12:10:11,3,54274
04/01/16,12:10:10,2,115858
04/01/16,12:50:23,2,115978
04/01/16,12:06:43,1,113630
05/01/16,12:47:16,1,114236
05/01/16,12:47:28,3,54561
05/01/16,12:45:27,1,114230
30/12/15,13:00:54,1,113417
30/12/15,13:02:54,1,113421
07/01/16,12:16:25,1,114977
07/01/16,12:16:02,2,116850
07/01/16,12:16:54,2,116853
07/01/16,12:15:22,3,54720
11/01/16,12:03:33,1,115663
11/01/16,12:26:37,2,117609
11/01/16,12:14:39,3,54987
11/01/16,12:34:37,2,117640
11/01/16,12:10:27,2,117545
11/01/16,12:03:59,1,115665
11/01/16,13:23:18,3,55019
11/01/16,12:05:59,1,115675
11/01/16,12:36:42,3,55069
11/01/16,12:13:57,2,117559
11/01/16,12:17:51,2,117581
11/01/16,12:15:09,2,117565
11/01/16,12:19:35,1,115740
11/01/16,12:19:48,1,115741
11/01/16,12:15:09,1,115721
11/01/16,12:18:25,1,115735
08/01/16,12:22:56,1,115403
08/01/16,12:22:06,1,115402
08/01/16,12:21:20,1,115401
08/01/16,12:37:50,1,115445
08/01/16,12:46:07,2,117298
08/01/16,12:37:36,2,117269
08/01/16,12:49:21,3,54885
08/01/16,12:38:48,3,54852
12/01/16,11:59:26,1,116040
12/01/16,11:59:33,1,116041
12/01/16,12:01:28,1,116052
12/01/16,12:03:17,1,116058
12/01/16,12:02:14,1,116053
12/01/16,12:06:06,1,116074
12/01/16,13:27:39,1,116408
12/01/16,11:59:19,2,117866
12/01/16,13:44:01,2,118119
12/01/16,13:23:32,2,118078
